,Number of Starting WRs,WR Average,WR Median: ,WR Weeks less than 7: ,WR Weeks more than 12: ,Percentage of Points from WR: ,WRs Started/Week: ,WR Points/Week: 
Number Juan,7,11.481538461538463,9.7,11,15,32.16579268730694,3.0,34.44461538461539
Belichick Yourself,6,10.894594594594595,10.9,12,16,28.92508610792193,2.8461538461538463,31.00769230769231
Scott,8,10.304705882352943,9.05,13,11,29.043221645638877,2.6153846153846154,26.950769230769236
Hernandez Hit Men,4,16.80256410256411,14.6,9,25,47.5240775121838,3.0,50.40769230769232
Ayush,5,13.242424242424246,12.9,8,20,30.051300389222796,2.5384615384615383,33.61538461538463
Krishanu,7,11.38965517241379,11.1,9,12,24.312865281846683,2.230769230769231,25.4076923076923
Matthew,7,10.515625000000005,7.8,10,11,22.956433941411632,2.4615384615384617,25.884615384615397
Ankith,7,11.801666666666666,10.36,9,16,36.0741759641347,2.769230769230769,32.68153846153846
Bok Choy Babes,9,12.433939393939395,10.5,8,14,30.008629894539762,2.5384615384615383,31.563076923076927
Davis,5,14.032903225806448,14.0,6,19,30.295981614318553,2.3846153846153846,33.46307692307692
Ishaan,5,8.217948717948717,6.5,22,11,28.122422476879077,3.0,24.65384615384615
Nandha,6,12.965333333333337,14.15,8,16,26.515781580203157,2.3076923076923075,29.92000000000001
